station,secchi_2_mn,secchi_2_med,sqrt_secchi_mn,sqrt_secchi_med,temperature_mn,temperature_med,salinity_mn,salinity_med,do_mn,do_med,pctsat_mn,pctsat_med,pH_mn,pH_med,chl_mn,chl_med,log_chl_mn,log_chl_med,log1_chl_mn,log1_chl_med
P5BSD,3.6259259259259258,3.5,1.8849541049746494,1.8708286933869707,13.36281851091056,14.33,30.54048048611345,31.17,9.314658722196306,9,107.45502144949776,108.3,7.986342605064655,8,3.2062068965517243,2.73,0.8067101730587729,1.0043016091968684,1.2862956493266113,1.3164082336557241
KVL84,2.2176470588235295,2.1,1.485535976164648,1.449137674618944,14.205,14.5,29.98404738125,30,8.41,8.5,87.30799824188095,95.45800934388316,7.992666666666667,7.98,,,,,,
P6FGG,2.3535714285714286,2.1500000000000004,1.5247095092878173,1.4661886860190383,14.4606794103674,15.22,28.771801180452915,29.83,9.160369561513265,8.875,106.76666480170356,105.05000000000001,7.979186516839104,7.98,3.981081081081081,3.16,1.0578746177670244,1.1505720275988207,1.4541014410056077,1.425515074273172
PH1,2.433333333333333,2.5,1.5544474586249601,1.5811388300841898,14.876,16.28,29.18235294117647,29.43,8.767058823529412,8.63,103.26470588235294,102.1,7.933529411764706,7.93,3.909411764705882,3.57,1.2972802317102443,1.3454215013822446,1.4689558774209501,1.5195132049061133
P7CBI,3.1410714285714283,2.9749999999999996,1.748166308134747,1.724681778124969,14.98993703811233,15.97,30.57760632076779,30.95,9.395197778277927,9.125,112.07659115261502,112.1,8.025337804845861,8.02,2.997837837837838,2.4,0.747281885514292,0.915490091190668,1.2058568241200287,1.2237754316221157
PH3,2,2,1.4057508918828316,1.4142135623730951,15.059333333333333,16.62,29.038666666666668,29.41,8.466666666666667,8.21,99.92666666666666,99.1,7.889333333333333,7.88,2.8406666666666665,2.76,0.7964111551256676,1.0152306797290584,1.2404254263737646,1.324418957401803
PH2,2.04375,2,1.4236908176934193,1.413771274913983,15.12435294117647,16.52,29.16294117647059,29.45,8.590588235294117,8.59,101.7,102,7.910588235294117,7.92,3.6858823529411766,2.74,0.9042038323067652,1.007957920399979,1.3716655450660085,1.3190856114264407
SMT50,1.992391304347826,2,1.4031152384317214,1.4142135623730951,15.201763440860216,15.7,29.290394287943545,29.8,8.441956521739131,8.32,100.39300453374577,100.7,7.926136363636363,7.93,4.102307692307693,3.53,1.0554926604054293,1.2612978709452054,1.4876965331649472,1.5107219394949427
EEB18,1.5271739130434783,1.5,1.2121938038596987,1.224744871391589,15.2852375,16.15,27.333429553101265,28.3,8.87375,8.6,103.79813562789529,103.85,7.962173913043478,7.97,3.542727272727273,3.24,1.025227304708548,1.17540183263226,1.3987678183630132,1.4444631346180907
CMS1,2.5085714285714285,2.4,1.573229681381877,1.5491933384829668,15.46868,16.4,31.541402578799985,31.44,8.641466666666666,8.49,104.23703259421475,103.8,7.8325,7.98,4.431764705882353,4.3,1.131964482670932,1.4586150226995167,1.5305495135779976,1.667706820558076
BMR02,2.079285714285714,2.1,1.431831700768115,1.449137674618944,15.783133333333334,16,27.536131953533335,28.2051018799999,8.122933333333334,8.06,95.91015829837251,98.5,7.886451612903226,7.9,3.7604761904761905,3.48,1.1798530023248748,1.247032293786383,1.4865963971130813,1.4996230464268938
PYC43,2.440909090909091,2.5,1.5461362523921038,1.5811388300841898,15.918292307692308,16.6,30.832786164757465,30.96,9.421060606060607,9.3,113.02345736714454,111.7,7.932033898305085,7.96,4.303333333333334,4.3149999999999995,1.2713777517524045,1.4620966531858377,1.562313744557553,1.6705325693037003
