"","parm","Parameter","Minimum","Median","Mean","Maximum","SD","Sample"
"1","depth","Depth",0.089,2.69970703125,2.69952729936173,5.1287841796875,1.06070757403565,29647
"2","temperature","Temperature",-1.97,9.96,9.79655489848754,23,6.16330976474325,29898
"3","salinity","Salinity",22.98,30.23,30.1748157174954,32.76,1.07285888997681,29424
"4","do","DO (mg/l)",5.36923837661743,9.82,9.93990765759923,14.4387035369873,1.54927761927631,29325
"5","pctsat","Percent Saturation",67.2492980957031,103.8,104.50313009386,146.2,9.63833227319268,29325
"6","chl","Chlorophyll-a",-0.25,5.21,7.49680380334517,130.76,7.6572606733756,29556
"7","chl_log1","log(Chlorophyll-a + 1)",-0.287682072451781,1.82616089594539,1.89170340062818,4.88098208586938,0.671707529273109,29556
"8","ph","pH (NMS)",7.72,8.06,8.06589339803129,8.38,0.0937784716646882,29330
"9","pco2","pCO2",132.330184,406.1238645,416.641818450046,1037.794175,121.325984412912,19438
"10","ta","Total Alkalinity",779.172973632812,1724.40026855469,1761.74218096254,4598.05615234375,338.259158685797,19438
"11","dic","Dissolved Inorganic Carbon",756.168884277344,1622.71850585938,1657.22010119803,4382.7275390625,314.278641612713,19438
"12","omega_a","Omega Aragonite",0.243105765955156,1.10593319608395,1.18772694627903,4.14642681945867,0.423980512700268,19437
